drug	gene
Cilazapril	SLC15A1
Cilazapril	SLC15A2
Cilostazol	CYP1A2
Cilostazol	CYP2C19
Cilostazol	CYP2D6
Cilostazol	CYP3A4
Cilostazol	CYP3A5
Cilostazol	CYP3A7
Cilostazol	PDE3A
Cimetidine	ABCB1
Cimetidine	ABCB11
Cimetidine	ALB
Cimetidine	CYP11B1
Cimetidine	CYP1A2
Cimetidine	CYP2C19
Cimetidine	CYP2C8
Cimetidine	CYP2C9
Cimetidine	CYP2D6
Cimetidine	CYP2E1
Cimetidine	CYP3A4
Cimetidine	CYP3A5
Cimetidine	FMO1
Cimetidine	FMO3
Cimetidine	HRH2
Cimetidine	SLC22A1
Cimetidine	SLC22A11
Cimetidine	SLC22A2
Cimetidine	SLC22A3
Cimetidine	SLC22A4
Cimetidine	SLC22A5
Cimetidine	SLC22A6
Cimetidine	SLC22A7
Cimetidine	SLC22A8
Cimetidine	SLC47A1
Cimetidine	SLC47A2
Cinacalcet	CASR
Cinacalcet	CYP1A2
Cinacalcet	CYP2D6
Cinacalcet	CYP3A4
Cinchocaine	BCHE
Cinchocaine	CALM1
Cinchocaine	SCN10A
Cinchocaine	SCN5A
Cinnarizine	CACNA1C
Cinnarizine	CACNA1D
Cinnarizine	CACNA1F
Cinnarizine	CACNA1G
Cinnarizine	CACNA1H
Cinnarizine	CACNA1I
Cinnarizine	CACNA1S
Cinnarizine	CHRM1
Cinnarizine	CYP1A1
Cinnarizine	CYP1A2
Cinnarizine	CYP2A6
Cinnarizine	CYP2B6
Cinnarizine	CYP2C9
Cinnarizine	CYP2D6
Cinnarizine	CYP3A4
Cinnarizine	DRD1
Cinnarizine	DRD2
Cinnarizine	HRH1
Cinoxacin	CYP1A2
Cinoxacin	SLC22A6
Ciprofibrate	PPARA
Ciprofloxacin	ABCB1
Ciprofloxacin	ALB
Ciprofloxacin	CYP1A2
Ciprofloxacin	CYP3A4
Ciprofloxacin	CYP3A5
Ciprofloxacin	CYP3A7
Ciprofloxacin	KCNH2
Ciprofloxacin	SLC47A1
Ciprofloxacin	SLC47A2
Ciprofloxacin	TOP2A
Cisapride	CYP2A6
Cisapride	CYP2B6
Cisapride	CYP2C19
Cisapride	CYP2C8
Cisapride	CYP2C9
Cisapride	CYP2D6
Cisapride	CYP3A4
Cisapride	CYP3A5
Cisapride	CYP3A7
Cisapride	HTR2A
Cisapride	HTR3A
Cisapride	HTR4
Cisapride	KCNH2
Cisatracurium	CHRNA2
Cisplatin	A2M
Cisplatin	ABCC2
Cisplatin	ABCC3
Cisplatin	ABCC5
Cisplatin	ABCC6
Cisplatin	ABCG2
Cisplatin	ALB
Cisplatin	ATOX1
Cisplatin	ATP7A
Cisplatin	ATP7B
Cisplatin	BCHE
Cisplatin	CYP2B6
Cisplatin	CYP2C9
Cisplatin	CYP4A11
Cisplatin	GSTM1
Cisplatin	GSTP1
Cisplatin	GSTT1
Cisplatin	MPG
Cisplatin	MPO
Cisplatin	MT1A
Cisplatin	MT2A
Cisplatin	NQO1
Cisplatin	PTGS2
Cisplatin	SLC22A2
Cisplatin	SLC31A1
Cisplatin	SLC31A2
Cisplatin	SOD1
Cisplatin	TF
Cisplatin	XDH
Citalopram	ABCB1
Citalopram	CYP1A2
Citalopram	CYP2C19
Citalopram	CYP2D6
Citalopram	CYP3A4
Citalopram	HRH1
Citalopram	SLC6A4
Citric acid	AKR1B1
Citric acid	APRT
Citric acid	C8G
Citric acid	CPB1
Citric acid	CS
Citric acid	CTDSP1
Citric acid	HGS
Citric acid	IL4I1
Citric acid	ITPA
Citric acid	LSM6
Citric acid	MDH2
Citric acid	PLEKHA1
Citric acid	RNASE1
Citric acid	RNASE3
Citric acid	SLCO2B1
Citric acid	SRC
Cladribine	ABCG2
Cladribine	DCK
Cladribine	PNP
Cladribine	POLA1
Cladribine	POLE
Cladribine	POLE2
Cladribine	POLE3
Cladribine	POLE4
Cladribine	RRM1
Cladribine	RRM2
Cladribine	RRM2B
Cladribine	SLC28A3
Clarithromycin	ABCB1
Clarithromycin	ABCB11
Clarithromycin	CYP3A4
Clarithromycin	CYP3A5
Clarithromycin	KCNH2
Clarithromycin	SLC22A7
Clarithromycin	SLCO1B1
Clarithromycin	SLCO1B3
Clascoterone	AR
Clascoterone	CYP1A2
Clascoterone	CYP2B6
Clascoterone	CYP2C19
Clascoterone	CYP2C8
Clascoterone	CYP2C9
Clascoterone	CYP2D6
Clascoterone	CYP2E1
Clascoterone	CYP3A4
Clavulanic acid	SLC5A1
Clemastine	CYP2D6
Clemastine	HRH1
Clenbuterol	ADRB1
Clenbuterol	ADRB2
Clenbuterol	ADRB3
Clenbuterol	CYP1A1
Clenbuterol	NGF
Clenbuterol	TNF
Clevidipine	BCHE
Clevidipine	CACNA1C
Clevidipine	CACNA1D
Clevidipine	CACNA1F
Clevidipine	CACNA1S
Clevidipine	CYP2C19
Clevidipine	CYP2C9
Clevidipine	CYP2D6
Clevidipine	CYP2E1
Clevidipine	CYP3A4
Clidinium	CHRM1
Clindamycin	ABCB1
Clindamycin	CYP3A4
Clindamycin	CYP3A5
Clindamycin	ORM1
Clobazam	ABCB1
Clobazam	CYP2B6
Clobazam	CYP2C18
Clobazam	CYP2C19
Clobazam	CYP2D6
Clobazam	CYP3A4
Clobazam	GABRA1
Clobetasol	CYP3A4
Clobetasol	CYP3A5
Clobetasol propionate	ALB
Clobetasol propionate	ANXA1
Clobetasol propionate	CYP3A4
Clobetasol propionate	CYP3A5
Clobetasol propionate	NR3C1
Clobetasol propionate	NR3C2
Clobetasol propionate	SERPINA6
Clobetasone	CYP3A4
Clobetasone	NR3C1
Clocortolone	NR3C1
Clodronic acid	PTGS2
Clodronic acid	SLC25A4
Clodronic acid	SLC25A5
Clodronic acid	SLC25A6
Clofarabine	ABCG2
Clofarabine	DCK
Clofarabine	POLA1
Clofarabine	RRM1
Clofazimine	ABCB1
Clofazimine	ABCC1
Clofazimine	ABCG2
Clofazimine	ALB
Clofazimine	CYP2C8
Clofazimine	CYP2D6
Clofazimine	CYP3A4
Clofazimine	CYP3A5
Clofazimine	KCNA3
Clofazimine	PPARG
Clofedanol	HRH1
Clofibrate	CYP1A1
Clofibrate	CYP2E1
Clofibrate	CYP3A4
Clofibrate	CYP4A11
Clofibrate	GSTA2
Clofibrate	PPARA
Clofibrate	SERPINA7
Clomifene	ABCB1
Clomifene	CYP17A1
Clomifene	ESR1
Clomifene	SHBG
Clomipramine	ABCB1
Clomipramine	ALB
Clomipramine	CYP1A2
Clomipramine	CYP2C19
Clomipramine	CYP2D6
Clomipramine	CYP3A4
Clomipramine	GSTP1
Clomipramine	HTR2A
Clomipramine	HTR2B
Clomipramine	HTR2C
Clomipramine	SLC6A2
Clomipramine	SLC6A4
Clonazepam	ALB
Clonazepam	CYP2E1
Clonazepam	CYP3A4
Clonazepam	GABRA1
Clonazepam	NAT2
Clonazepam	NR1I2
Clonidine	ADRA1A
Clonidine	ADRA1B
Clonidine	ADRA1D
Clonidine	ADRA2A
Clonidine	ADRA2B
Clonidine	ADRA2C
Clonidine	ALB
Clonidine	CYP1A1
Clonidine	CYP1A2
Clonidine	CYP2D6
Clonidine	CYP3A4
Clonidine	CYP3A5
Clonidine	SLC22A3
Clonidine	SLC22A4
Clonidine	SLC22A5
Clopidogrel	ABCB1
Clopidogrel	CES1
Clopidogrel	CYP1A2
Clopidogrel	CYP2B6
Clopidogrel	CYP2C19
Clopidogrel	CYP2C8
Clopidogrel	CYP2C9
Clopidogrel	CYP3A4
Clopidogrel	CYP3A5
Clopidogrel	P2RY12
Clopidogrel	SLC22A1
Clopidogrel	SLC22A2
Clorazepic acid	CYP3A4
Clorazepic acid	GABRA1
Clotiazepam	CYP2B6
Clotiazepam	CYP2C18
Clotiazepam	CYP2C19
Clotiazepam	CYP3A4
Clotiazepam	GABRA1
Clotrimazole	ABCB1
Clotrimazole	ABCB11
Clotrimazole	CYP2A6
Clotrimazole	CYP2B6
Clotrimazole	CYP2C8
Clotrimazole	CYP2C9
Clotrimazole	CYP2D6
Clotrimazole	CYP2E1
Clotrimazole	CYP3A4
Clotrimazole	CYP3A7
Clotrimazole	HCAR2
Clotrimazole	KCNN4
Clotrimazole	NR1I2
Clotrimazole	SLCO1B1
Clotrimazole	SLCO1B3
Clove oil	COL1A1
Clove oil	CSF2RA
Clove oil	CXCL10
Clove oil	VCAM1
Cloxacillin	ALB
Cloxacillin	SLC15A1
Cloxacillin	SLC15A2
Cloxacillin	SLC22A8
Clozapine	ABCB1
Clozapine	ADRA1A
Clozapine	ADRA1B
Clozapine	ADRA2A
Clozapine	ADRA2B
Clozapine	ADRA2C
Clozapine	CALY
Clozapine	CHRM1
Clozapine	CHRM2
Clozapine	CHRM3
Clozapine	CHRM4
Clozapine	CHRM5
Clozapine	CYP1A1
Clozapine	CYP1A2
Clozapine	CYP2A6
Clozapine	CYP2C19
Clozapine	CYP2C8
Clozapine	CYP2C9
Clozapine	CYP2D6
Clozapine	CYP3A4
Clozapine	DRD1
Clozapine	DRD2
Clozapine	DRD3
Clozapine	DRD4
Clozapine	FMO3
Clozapine	GSTP1
Clozapine	HRH1
Clozapine	HRH4
Clozapine	HTR1A
Clozapine	HTR1B
Clozapine	HTR1D
Clozapine	HTR1E
Clozapine	HTR2A
Clozapine	HTR2C
Clozapine	HTR3A
Clozapine	HTR6
Clozapine	HTR7
Clozapine	UGT1A4
Coagulation Factor IX Human	F10
Coagulation Factor IX Human	F11
Coagulation Factor IX Human	F2
Coagulation Factor IX Human	F7
Coagulation Factor IX Human	F8
Coagulation Factor IX Human	GGCX
Coagulation Factor IX Human	LRP1
Coagulation Factor IX (Recombinant)	F10
Coagulation Factor IX (Recombinant)	F11
Coagulation Factor IX (Recombinant)	F2
Coagulation Factor IX (Recombinant)	F7
Coagulation Factor IX (Recombinant)	F8
Coagulation Factor IX (Recombinant)	GGCX
Coagulation Factor IX (Recombinant)	LRP1
Coagulation factor VIIa Recombinant Human	F10
Coagulation factor VIIa Recombinant Human	F3
Coagulation factor VIIa Recombinant Human	F7
Coagulation factor VIIa Recombinant Human	GGCX
Coagulation factor VIIa Recombinant Human	TFPI
Coagulation factor VII human	F10
Coagulation factor VII human	F3
Coagulation factor VII human	F9
Cobicistat	ABCB1
Cobicistat	ABCG2
Cobicistat	CYP2D6
Cobicistat	CYP3A4
Cobicistat	CYP3A43
Cobicistat	CYP3A5
Cobicistat	CYP3A7
Cobicistat	SLCO1B1
Cobicistat	SLCO1B3
Cobimetinib	ABCB1
Cobimetinib	ABCG2
Cobimetinib	CYP3A4
Cobimetinib	MAP2K1
Cobimetinib	SLCO1B1
Cobimetinib	SLCO1B3
Cocaine	BCHE
Cocaine	CES1
Cocaine	CHRM1
Cocaine	CHRM2
Cocaine	CYP2C8
Cocaine	CYP2D6
Cocaine	CYP3A4
Cocaine	ORM1
Cocaine	SCN1A
Cocaine	SIGMAR1
Cocaine	SLC22A2
Cocaine	SLC6A2
Cocaine	SLC6A3
Cocaine	SLC6A4
Coccidioides immitis spherule	HLA-A
Coccidioides immitis spherule	HLA-B
Coccidioides immitis spherule	HLA-DRA
Codeine	CYP2D6
Codeine	CYP3A4
Codeine	OPRD1
Codeine	OPRK1
Codeine	OPRM1
Codeine	SLC22A1
Codeine	UGT2B4
Codeine	UGT2B7
Colchiceine	ALB
Colchiceine	TUBA1A
Colchiceine	TUBB
Colchicine	ABCB1
Colchicine	ALB
Colchicine	CYP2B6
Colchicine	CYP2C8
Colchicine	CYP2E1
Colchicine	CYP3A4
Colchicine	TUBB
Collagenase clostridium histolyticum	COL1A1
Collagenase clostridium histolyticum	COL2A1
Collagenase clostridium histolyticum	COL3A1
Conestat alfa	C1R
Conestat alfa	C1S
Conestat alfa	F11
Conestat alfa	F12
Conestat alfa	F2
Conestat alfa	KLKB1
Conestat alfa	PLAT
Conivaptan	ABCB1
Conivaptan	AVPR1A
Conivaptan	AVPR2
Conivaptan	CYP3A4
Conjugated estrogens	ABCB1
Conjugated estrogens	ABCC1
Conjugated estrogens	ABCC11
Conjugated estrogens	ABCC2
Conjugated estrogens	ABCC3
Conjugated estrogens	ABCC4
Conjugated estrogens	ABCG2
Conjugated estrogens	ALB
Conjugated estrogens	COMT
Conjugated estrogens	CYP1A2
Conjugated estrogens	CYP3A4
Conjugated estrogens	ESR1
Conjugated estrogens	ESR2
Conjugated estrogens	SERPINA7
Conjugated estrogens	SHBG
Conjugated estrogens	SLC10A1
Conjugated estrogens	SLC22A10
Conjugated estrogens	SLC22A11
Conjugated estrogens	SLC22A6
Conjugated estrogens	SLC22A8
Conjugated estrogens	SLC51A
Conjugated estrogens	SLC51B
Conjugated estrogens	SLCO1A2
Conjugated estrogens	SLCO1B1
Conjugated estrogens	SLCO1B3
Conjugated estrogens	SLCO1C1
Conjugated estrogens	SLCO2B1
Conjugated estrogens	SLCO3A1
Conjugated estrogens	SLCO4A1
Copanlisib	ABCB1
Copanlisib	ABCG2
Copanlisib	ALB
Copanlisib	CYP1A1
Copanlisib	CYP3A4
Copanlisib	CYP3A5
Copanlisib	CYP3A7
Copanlisib	PIK3CA
Copanlisib	PIK3CD
Copanlisib	SLC47A2
Copper	A1BG
Copper	A2M
Copper	ACTG1
Copper	ACTN1
Copper	ACY1
Copper	AFM
Copper	AGT
Copper	AHCY
Copper	AHSG
Copper	AKR1A1
Copper	ALB
Copper	ANG
Copper	ANXA4
Copper	ANXA5
Copper	AOC1
Copper	APCS
Copper	APLP1
Copper	APOA1
Copper	APOA2
Copper	APOA4
Copper	APOBR
Copper	APOC2
Copper	APOC3
Copper	APOD
Copper	APOE
Copper	APOH
Copper	APP
Copper	ATOX1
Copper	ATP7A
Copper	ATP7B
Copper	AZGP1
Copper	B2M
Copper	BDNF
Copper	C1QBP
Copper	C1QC
Copper	C1S
Copper	C3
Copper	C4B
Copper	C4BPA
Copper	C5
Copper	C8B
Copper	C9
Copper	CALR
Copper	CBX5
Copper	CCS
Copper	CFH
Copper	CFI
Copper	CFL1
Copper	CLEC3B
Copper	CLIC1
Copper	CLU
Copper	COX17
Copper	CP
Copper	CYB5R3
Copper	DBH
Copper	EEF1A1
Copper	EEF1A1L14
Copper	EIF4A1
Copper	EIF6
Copper	ENO1
Copper	F2
Copper	F5
Copper	F8
Copper	GAPDH
Copper	GLRA1
Copper	GOT1
Copper	GPI
Copper	GSN
Copper	GSR
Copper	GSS
Copper	HBA1
Copper	HBB
Copper	HDGF
Copper	HEPH
Copper	HEPHL1
Copper	HIST1H1E
Copper	HIST1H2BC
Copper	HNRNPA2B1
Copper	HNRNPH1
Copper	HNRNPH3
Copper	HNRNPL
Copper	HPR
Copper	HSP90AA1
Copper	HSP90B1
Copper	HSPA13
Copper	HSPA5
Copper	HSPA8
Copper	HSPD1
Copper	HTT
Copper	IAPP
Copper	IDH3A
Copper	IGFALS
Copper	IGHG1
Copper	IGHG4
Copper	IGLL1
Copper	ITIH2
Copper	KNG1
Copper	KRT1
Copper	KRT10
Copper	KRT2
Copper	KRT8
Copper	KRT9
Copper	LDHA
Copper	LOX
Copper	LRG1
Copper	LUM
Copper	MAOA
Copper	MT-CO1
Copper	MTF1
Copper	NEIL1
Copper	NEIL2
Copper	NME1
Copper oxodotreotide Cu-64	SSTR2
Copper	P4HB
Copper	PAM
Copper	PARK7
Copper	PDIA3
Copper	PEBP1
Copper	PGAM1
Copper	PGK1
Copper	PGLYRP2
Copper	PKM
Copper	PLG
Copper	PON1
Copper	PPBP
Copper	PPIA
Copper	PRDX1
Copper	PRDX2
Copper	PRDX6
Copper	PRNP
Copper	PSME1
Copper	PTGES3
Copper	RACK1
Copper	RANBP1
Copper	RPS2
Copper	RPSA
Copper	S100A2
Copper	S100A4
Copper	S100A8
Copper	SCO1
Copper	SERPINA1
Copper	SERPINA4
Copper	SERPINA6
Copper	SERPINA7
Copper	SERPINC1
Copper	SERPIND1
Copper	SERPINE1
Copper	SERPINF1
Copper	SERPINF2
Copper	SERPING1
Copper	SF3A2
Copper	SFPQ
Copper	SLC11A2
Copper	SLC31A1
Copper	SLC31A2
Copper	SNCA
Copper	SOD1
Copper	SRSF1
Copper	STIP1
Copper	TAC3
Copper	TF
Copper	TKT
Copper	TTR
Copper	TUBA3C
Copper	TUBB
Copper	TYR
Copper	UGDH
Copper	VTN
Copper	YWHAB
Corifollitropin alfa	FSHR
Corticorelin ovine triflutate	CRHR1
Corticotropin	CRH
Corticotropin	CYP24A1
Corticotropin	CYP27B1
Corticotropin	CYP3A4
Corticotropin	HSD3B2
Corticotropin	MC2R
Cortisone acetate	ABCB1
Cortisone acetate	ALB
Cortisone acetate	ANXA1
Cortisone acetate	CYP3A4
Cortisone acetate	CYP3A5
Cortisone acetate	NR3C1
Cortisone acetate	SERPINA6
Cortisone acetate	SLC22A8
Cortisone acetate	SLCO1A2
Creatine	CKB
Creatine	CKM
Creatine	CKMT1A
Creatine	CKMT2
Creatine	GAMT
Creatine	SLC22A5
Creatine	SLC6A8
Crisaborole	CYP2B6
Crisaborole	CYP2C8
Crisaborole	CYP2C9
Crisaborole	PDE4A
Crisaborole	PDE4B
Crisaborole	PDE4C
Crisaborole	PDE4D
Crizanlizumab	SELP
Crizotinib	ABCB1
Crizotinib	ALK
Crizotinib	CYP2B6
Crizotinib	CYP3A4
Crizotinib	CYP3A5
Crizotinib	MET
Crofelemer	ANO1
Crofelemer	CFTR
Cromoglicic acid	S100P
Crotalus adamanteus antivenin	PLA2G10
Crotalus atrox antivenin	PLA2G10
Cryptenamine	ADRB1
Cryptenamine	CHRM2
Cupric Chloride	CSTB
Cupric Chloride	PROC
Cupric oxide	ALB
Cupric oxide	CP
Cupric sulfate	ALB
Cupric sulfate	CP
Cupric sulfate	LOX
Cupric sulfate	MT-CO1
Cupric sulfate	PAH
Curcumin	ABCB1
Curcumin	ABCC5
Curcumin	CBR1
Curcumin	CYP1A2
Curcumin	CYP2B6
Curcumin	CYP2C9
Curcumin	CYP2D6
Curcumin	CYP3A4
Curcumin	GSTA1
Curcumin	GSTM1
Curcumin	GSTP1
Curcumin	PPARG
Curcumin	VDR
Cyanocobalamin	ABCC1
Cyanocobalamin	AMN
Cyanocobalamin	CUBN
Cyanocobalamin	GIF
Cyanocobalamin	LRP2
Cyanocobalamin	MMAA
Cyanocobalamin	MMAB
Cyanocobalamin	MMACHC
Cyanocobalamin	MTHFR
Cyanocobalamin	MTR
Cyanocobalamin	MTRR
Cyanocobalamin	MUT
Cyanocobalamin	TCN1
Cyanocobalamin	TCN2
Cyclacillin	SLC15A1
Cyclacillin	SLC15A2
Cyclacillin	SLC22A5
Cyclandelate	CACNA2D1
Cyclandelate	CES1
Cyclandelate	CYP3A4
Cyclizine	CYP2C9
Cyclizine	HRH1
Cyclizine	SULT1E1
Cyclobenzaprine	ALB
Cyclobenzaprine	AOX1
Cyclobenzaprine	CYP1A2
Cyclobenzaprine	CYP2D6
Cyclobenzaprine	CYP3A4
Cyclobenzaprine	HTR2A
Cyclobenzaprine	HTR2B
Cyclobenzaprine	HTR2C
Cyclobenzaprine	HTR6
Cyclobenzaprine	HTR7
Cyclobenzaprine	SLC6A2
Cyclobenzaprine	SLC6A4
Cyclobenzaprine	TLR4
Cyclobenzaprine	UGT1A4
Cyclobenzaprine	UGT2B10
Cyclopentolate	BCHE
Cyclopentolate	CHRM1
Cyclophosphamide	CYP2A6
Cyclophosphamide	CYP2B6
Cyclophosphamide	CYP2C18
Cyclophosphamide	CYP2C19
Cyclophosphamide	CYP2C8
Cyclophosphamide	CYP2C9
Cyclophosphamide	CYP3A4
Cyclophosphamide	CYP3A5
Cyclophosphamide	NR1I2
Cycloserine	DDC
Cycloserine	SLC36A2
Cyclosporine	ABCB1
Cyclosporine	ABCB11
Cyclosporine	ABCC10
Cyclosporine	ABCC2
Cyclosporine	ABCG2
Cyclosporine	CAMLG
Cyclosporine	CYP2C19
Cyclosporine	CYP2D6
Cyclosporine	CYP3A4
Cyclosporine	CYP3A5
Cyclosporine	PPIA
Cyclosporine	PPIF
Cyclosporine	PPP3R2
Cyclosporine	SLC10A1
Cyclosporine	SLC10A2
Cyclosporine	SLC22A6
Cyclosporine	SLCO1B1
Cyclosporine	SLCO1B3
Cyclothiazide	CA1
Cyclothiazide	CA2
Cyclothiazide	FXYD2
Cyclothiazide	SFRP4
Cyclothiazide	SLC22A6
Cycrimine	CHRM1
Cyproheptadine	ALB
Cyproheptadine	CHRM1
Cyproheptadine	CHRM2
Cyproheptadine	CHRM3
Cyproheptadine	HRH1
Cyproheptadine	HRH2
Cyproheptadine	HTR2A
Cyproheptadine	HTR2B
Cyproheptadine	HTR2C
Cyproheptadine	HTR7
Cyproheptadine	SLC22A1
Cyproheptadine	UGT1A3
Cyproheptadine	UGT1A4
Cyproheptadine	UGT2B10
Cyproterone acetate	AR
Cyproterone acetate	CYP19A1
Cyproterone acetate	CYP3A4
Cyproterone acetate	KLK3
Cysteamine	ALB
Cysteamine	MPO
Cysteamine	NPY2R
Cysteine	CARS
Cysteine	CARS2
Cysteine	CBS
Cysteine	CDO1
Cysteine	CSAD
Cysteine	CTH
Cysteine	GCLC
Cysteine	GCLM
Cysteine	GOT1
Cysteine	GOT2
Cysteine	GSS
Cysteine	MGMT
Cysteine	NFS1
Cysteine	SLC16A10
Cystine	CTNS
Cystine	SLC16A10
Cystine	SLC3A1
Cystine	SLC7A11
Cystine	SLC7A9
Cytarabine	ABCC10
Cytarabine	CDA
Cytarabine	CYP3A4
Cytarabine	DCK
Cytarabine	DCTD
Cytarabine	NT5E
Cytarabine	POLB
Cytarabine	SLC22A4
Cytarabine	SLC29A1
Dabigatran etexilate	ABCB1
Dabigatran etexilate	ALB
Dabigatran etexilate	CES1
Dabigatran etexilate	CES2
Dabigatran etexilate	F2
Dabigatran etexilate	NQO2
Dabigatran etexilate	UGT1A9
Dabigatran etexilate	UGT2B15
Dabigatran etexilate	UGT2B7
Dabrafenib	ABCB1
Dabrafenib	ABCG2
Dabrafenib	BRAF
Dabrafenib	CYP1A2
Dabrafenib	CYP2B6
Dabrafenib	CYP2C19
Dabrafenib	CYP2C8
Dabrafenib	CYP2C9
Dabrafenib	CYP3A4
Dabrafenib	LIMK1
Dabrafenib	NEK11
Dabrafenib	RAF1
Dabrafenib	SIK1
Dabrafenib	SLC22A6
Dabrafenib	SLC22A8
Dabrafenib	SLCO1B1
Dabrafenib	SLCO1B3
Dacarbazine	CYP1A1
Dacarbazine	CYP1A2
Dacarbazine	CYP2E1
Dacarbazine	PGD
Dacarbazine	POLA2
Daclatasvir	ABCB1
Daclatasvir	ABCG2
Daclatasvir	CYP3A4
Daclatasvir	CYP3A43
Daclatasvir	CYP3A5
Daclatasvir	CYP3A7
Daclatasvir	SLCO1B1
Daclatasvir	SLCO1B3
Dacomitinib	ABCB1
Dacomitinib	ABCG2
Dacomitinib	ALB
Dacomitinib	CYP2C9
Dacomitinib	CYP2D6
Dacomitinib	CYP3A4
Dacomitinib	EGFR
Dacomitinib	SLC22A1
Dacomitinib	UGT1A1
Dactinomycin	ABCB1
Dactinomycin	ABCC1
Dactinomycin	ABCC6
Dactinomycin	ABCG2
Dactinomycin	SLC22A5
Dactinomycin	TOP2A
Dalfampridine	CYP2E1
Dalfampridine	KCNA1
Dalfampridine	KCNA10
Dalfampridine	KCNA2
Dalfampridine	KCNA3
Dalfampridine	KCNA4
Dalfampridine	KCNA5
Dalfampridine	KCNA6
Dalfampridine	KCNA7
Dalfampridine	KCNB1
Dalfampridine	KCNB2
Dalfampridine	KCNC1
Dalfampridine	KCNC2
Dalfampridine	KCNC3
Dalfampridine	KCND1
Dalfampridine	KCND2
Dalfampridine	KCND3
Dalfampridine	SLC22A2
Dalfopristin	CYP3A4
D-alpha-Tocopherol acetate	ALOX5
D-alpha-Tocopherol acetate	GCLC
D-alpha-Tocopherol acetate	GSTA2
D-alpha-Tocopherol acetate	GSTM3
D-alpha-Tocopherol acetate	GSTO1
D-alpha-Tocopherol acetate	GSTP1
D-alpha-Tocopherol acetate	HMOX1
D-alpha-Tocopherol acetate	NQO1
D-alpha-Tocopherol acetate	NR1I2
D-alpha-Tocopherol acetate	PRKCA
D-alpha-Tocopherol acetate	PRKCB
D-alpha-Tocopherol acetate	SEC14L2
D-alpha-Tocopherol acetate	SEC14L3
D-alpha-Tocopherol acetate	SOD1
D-alpha-Tocopherol acetate	TTPA
Dalteparin	HPSE
Dalteparin	SELP
Dalteparin	SERPINC1
Dalteparin	TFPI
Dalteparin	VEGFA
Damoctocog alfa pegol	F8
Danaparoid	SERPINC1
Danazol	AR
Danazol	CCL2
Danazol	CYP19A1
Danazol	CYP3A4
Danazol	ESR1
Danazol	GNRHR
Danazol	GNRHR2
Danazol	PGR
Danazol	SHBG
Dantrolene	RYR1
Dantrolene	SERPINA7
Dantron	ALB
Dapagliflozin	ABCB1
Dapagliflozin	CYP1A1
Dapagliflozin	CYP1A2
Dapagliflozin	CYP2A6
Dapagliflozin	CYP2C9
Dapagliflozin	CYP2D6
Dapagliflozin	CYP3A4
Dapagliflozin	SLC5A2
Dapagliflozin	UGT1A9
Dapagliflozin	UGT2B4
Dapagliflozin	UGT2B7
Dapiprazole	ADRA1A
Dapiprazole	ADRA1B
Dapiprazole	ADRA1D
Dapsone	CYP2C18
Dapsone	CYP2C19
Dapsone	CYP2C8
Dapsone	CYP2C9
Dapsone	CYP2E1
Dapsone	CYP3A4
Dapsone	CYP3A5
Dapsone	CYP3A7
Dapsone	FMO3
Dapsone	MPO
Dapsone	NAT2
Dapsone	PTGS1
Dapsone	PTGS2
Daptomycin	ABCB1
Daptomycin	ALB
Daptomycin	HPX
Daptomycin	LDLR
Daptomycin	ORM1
Daptomycin	SERPINA1
Daptomycin	SHBG
Daratumumab	CD38
Darbepoetin alfa	EPOR
Darifenacin	CHRM1
Darifenacin	CHRM2
Darifenacin	CHRM3
Darifenacin	CHRM4
Darifenacin	CHRM5
Darifenacin	CYP2D6
Darifenacin	CYP3A4
Darolutamide	ABCB1
Darolutamide	ABCG2
Darolutamide	ALB
Darolutamide	AR
Darolutamide	CYP3A4
Darolutamide	PGR
Darolutamide	SLCO1B1
Darolutamide	SLCO1B3
Darolutamide	UGT1A9
Darunavir	ABCB1
Darunavir	ALB
Darunavir	CYP2D6
Darunavir	CYP3A4
Darunavir	ORM1
Darunavir	SLCO1B1
Dasabuvir	ABCB1
Dasabuvir	ABCB5
Dasabuvir	ABCG2
Dasabuvir	CYP2C8
Dasabuvir	CYP2D6
Dasabuvir	CYP3A4
Dasabuvir	UGT1A1
Dasatinib	ABCB1
Dasatinib	ABCG2
Dasatinib	ABL1
Dasatinib	ABL2
Dasatinib	BCR
Dasatinib	BTK
Dasatinib	CSK
Dasatinib	CYP1A1
Dasatinib	CYP1A2
Dasatinib	CYP1B1
Dasatinib	CYP3A4
Dasatinib	CYP3A5
Dasatinib	EPHA2
Dasatinib	EPHA5
Dasatinib	EPHB4
Dasatinib	FGR
Dasatinib	FMO3
Dasatinib	FRK
Dasatinib	FYN
Dasatinib	HSPA8
Dasatinib	KIT
Dasatinib	LCK
Dasatinib	LYN
Dasatinib	MAPK14
Dasatinib	NR4A3
Dasatinib	PDGFRB
Dasatinib	PPAT
Dasatinib	SRC
Dasatinib	STAT5B
Dasatinib	YES1
Dasatinib	ZAK
Dasiglucagon	GCGR
Daunorubicin	ABCB1
Daunorubicin	ABCC1
Daunorubicin	ABCC10
Daunorubicin	ABCC6
Daunorubicin	ABCG2
Daunorubicin	AKR1B1
Daunorubicin	CBR1
Daunorubicin	CBR3
Daunorubicin	CYP1B1
Daunorubicin	CYP3A4
Daunorubicin	CYP3A5
Daunorubicin	POR
Daunorubicin	TOP2A
Daunorubicin	TOP2B
Debrisoquine	ABCB1
Debrisoquine	CYP1A1
