disease	gene
congenital, hereditary, and neonatal diseases and abnormalities	FGG
congenital, hereditary, and neonatal diseases and abnormalities	CRX
congenital, hereditary, and neonatal diseases and abnormalities	IKBKG
congenital, hereditary, and neonatal diseases and abnormalities	DCLRE1C
congenital, hereditary, and neonatal diseases and abnormalities	MEFV
congenital, hereditary, and neonatal diseases and abnormalities	CSRP3
congenital, hereditary, and neonatal diseases and abnormalities	MPDU1
congenital, hereditary, and neonatal diseases and abnormalities	SHROOM4
congenital, hereditary, and neonatal diseases and abnormalities	USH1G
congenital, hereditary, and neonatal diseases and abnormalities	ELP1
congenital, hereditary, and neonatal diseases and abnormalities	BSCL2
congenital, hereditary, and neonatal diseases and abnormalities	MPZ
congenital, hereditary, and neonatal diseases and abnormalities	ZEB1
congenital, hereditary, and neonatal diseases and abnormalities	MSH2
congenital, hereditary, and neonatal diseases and abnormalities	ADGRG1
congenital, hereditary, and neonatal diseases and abnormalities	KIF1B
congenital, hereditary, and neonatal diseases and abnormalities	MPI
congenital, hereditary, and neonatal diseases and abnormalities	ATP6V0A2
congenital, hereditary, and neonatal diseases and abnormalities	IQSEC2
congenital, hereditary, and neonatal diseases and abnormalities	PHKA2
congenital, hereditary, and neonatal diseases and abnormalities	ANO10
congenital, hereditary, and neonatal diseases and abnormalities	CISD2
congenital, hereditary, and neonatal diseases and abnormalities	SPINK5
congenital, hereditary, and neonatal diseases and abnormalities	MAK
congenital, hereditary, and neonatal diseases and abnormalities	FANCL
congenital, hereditary, and neonatal diseases and abnormalities	MYLK2
congenital, hereditary, and neonatal diseases and abnormalities	PMP22
congenital, hereditary, and neonatal diseases and abnormalities	SLC1A3
congenital, hereditary, and neonatal diseases and abnormalities	ACADSB
congenital, hereditary, and neonatal diseases and abnormalities	ACADS
congenital, hereditary, and neonatal diseases and abnormalities	ACADM
congenital, hereditary, and neonatal diseases and abnormalities	SETX
congenital, hereditary, and neonatal diseases and abnormalities	CYBB
congenital, hereditary, and neonatal diseases and abnormalities	NLGN4X
congenital, hereditary, and neonatal diseases and abnormalities	TBX20
congenital, hereditary, and neonatal diseases and abnormalities	HPRT1
congenital, hereditary, and neonatal diseases and abnormalities	F13B
congenital, hereditary, and neonatal diseases and abnormalities	HK1
congenital, hereditary, and neonatal diseases and abnormalities	ASL
congenital, hereditary, and neonatal diseases and abnormalities	F12
congenital, hereditary, and neonatal diseases and abnormalities	F11
congenital, hereditary, and neonatal diseases and abnormalities	F13A1
congenital, hereditary, and neonatal diseases and abnormalities	GARS1
congenital, hereditary, and neonatal diseases and abnormalities	SART3
congenital, hereditary, and neonatal diseases and abnormalities	AKAP9
congenital, hereditary, and neonatal diseases and abnormalities	APOB
congenital, hereditary, and neonatal diseases and abnormalities	APOA1
congenital, hereditary, and neonatal diseases and abnormalities	ALOX12B
congenital, hereditary, and neonatal diseases and abnormalities	BCOR
congenital, hereditary, and neonatal diseases and abnormalities	REEP1
congenital, hereditary, and neonatal diseases and abnormalities	KRT16
congenital, hereditary, and neonatal diseases and abnormalities	EDN3
congenital, hereditary, and neonatal diseases and abnormalities	HSD17B4
congenital, hereditary, and neonatal diseases and abnormalities	HSD11B2
congenital, hereditary, and neonatal diseases and abnormalities	GNE
congenital, hereditary, and neonatal diseases and abnormalities	HSD17B3
congenital, hereditary, and neonatal diseases and abnormalities	PCSK9
congenital, hereditary, and neonatal diseases and abnormalities	CAV1
congenital, hereditary, and neonatal diseases and abnormalities	MKKS
congenital, hereditary, and neonatal diseases and abnormalities	EMX2
congenital, hereditary, and neonatal diseases and abnormalities	CAV3
congenital, hereditary, and neonatal diseases and abnormalities	SFTPB
congenital, hereditary, and neonatal diseases and abnormalities	ZNF592
congenital, hereditary, and neonatal diseases and abnormalities	RPS10
congenital, hereditary, and neonatal diseases and abnormalities	RPS7
congenital, hereditary, and neonatal diseases and abnormalities	VCL
congenital, hereditary, and neonatal diseases and abnormalities	ADGRV1
congenital, hereditary, and neonatal diseases and abnormalities	NCF1
congenital, hereditary, and neonatal diseases and abnormalities	ZNF711
congenital, hereditary, and neonatal diseases and abnormalities	KRT14
congenital, hereditary, and neonatal diseases and abnormalities	CNBP
congenital, hereditary, and neonatal diseases and abnormalities	B4GALT1
congenital, hereditary, and neonatal diseases and abnormalities	NDE1
congenital, hereditary, and neonatal diseases and abnormalities	KRT3
congenital, hereditary, and neonatal diseases and abnormalities	HOGA1
congenital, hereditary, and neonatal diseases and abnormalities	TACO1
congenital, hereditary, and neonatal diseases and abnormalities	GNPTG
congenital, hereditary, and neonatal diseases and abnormalities	PRKAR1A
congenital, hereditary, and neonatal diseases and abnormalities	SMS
congenital, hereditary, and neonatal diseases and abnormalities	NDUFS7
congenital, hereditary, and neonatal diseases and abnormalities	SLC6A19
congenital, hereditary, and neonatal diseases and abnormalities	NF2
congenital, hereditary, and neonatal diseases and abnormalities	NHLRC1
congenital, hereditary, and neonatal diseases and abnormalities	DNMT1
congenital, hereditary, and neonatal diseases and abnormalities	GBE1
congenital, hereditary, and neonatal diseases and abnormalities	ACY1
congenital, hereditary, and neonatal diseases and abnormalities	ACVRL1
congenital, hereditary, and neonatal diseases and abnormalities	SIX5
congenital, hereditary, and neonatal diseases and abnormalities	PEPD
congenital, hereditary, and neonatal diseases and abnormalities	TBX1
congenital, hereditary, and neonatal diseases and abnormalities	DBT
congenital, hereditary, and neonatal diseases and abnormalities	PEX1
congenital, hereditary, and neonatal diseases and abnormalities	CPA6
congenital, hereditary, and neonatal diseases and abnormalities	FLCN
congenital, hereditary, and neonatal diseases and abnormalities	NECTIN1
congenital, hereditary, and neonatal diseases and abnormalities	NHP2
congenital, hereditary, and neonatal diseases and abnormalities	HJV
congenital, hereditary, and neonatal diseases and abnormalities	KRT12
congenital, hereditary, and neonatal diseases and abnormalities	ESCO2
congenital, hereditary, and neonatal diseases and abnormalities	COX10
congenital, hereditary, and neonatal diseases and abnormalities	TWNK
congenital, hereditary, and neonatal diseases and abnormalities	PAX6
congenital, hereditary, and neonatal diseases and abnormalities	EVC2
congenital, hereditary, and neonatal diseases and abnormalities	DAGLA
congenital, hereditary, and neonatal diseases and abnormalities	DNAJC5
congenital, hereditary, and neonatal diseases and abnormalities	HTT
congenital, hereditary, and neonatal diseases and abnormalities	TAP2
congenital, hereditary, and neonatal diseases and abnormalities	TAP1
congenital, hereditary, and neonatal diseases and abnormalities	KLHL7
congenital, hereditary, and neonatal diseases and abnormalities	PRCD
congenital, hereditary, and neonatal diseases and abnormalities	COLQ
congenital, hereditary, and neonatal diseases and abnormalities	TAT
congenital, hereditary, and neonatal diseases and abnormalities	PRKAG2
congenital, hereditary, and neonatal diseases and abnormalities	LBR
congenital, hereditary, and neonatal diseases and abnormalities	PLP1
congenital, hereditary, and neonatal diseases and abnormalities	PLOD2
congenital, hereditary, and neonatal diseases and abnormalities	PLOD1
congenital, hereditary, and neonatal diseases and abnormalities	PLN
congenital, hereditary, and neonatal diseases and abnormalities	TMEM67
congenital, hereditary, and neonatal diseases and abnormalities	RPGR
congenital, hereditary, and neonatal diseases and abnormalities	RP2
congenital, hereditary, and neonatal diseases and abnormalities	POU3F4
congenital, hereditary, and neonatal diseases and abnormalities	RP9
congenital, hereditary, and neonatal diseases and abnormalities	PDE6C
congenital, hereditary, and neonatal diseases and abnormalities	RASA1
congenital, hereditary, and neonatal diseases and abnormalities	DMP1
congenital, hereditary, and neonatal diseases and abnormalities	SLC45A2
congenital, hereditary, and neonatal diseases and abnormalities	DMD
congenital, hereditary, and neonatal diseases and abnormalities	BLOC1S3
congenital, hereditary, and neonatal diseases and abnormalities	COL1A2
congenital, hereditary, and neonatal diseases and abnormalities	SH3TC2
congenital, hereditary, and neonatal diseases and abnormalities	MMP2
congenital, hereditary, and neonatal diseases and abnormalities	SUGCT
congenital, hereditary, and neonatal diseases and abnormalities	HACE1
congenital, hereditary, and neonatal diseases and abnormalities	KRT86
congenital, hereditary, and neonatal diseases and abnormalities	ZFYVE26
congenital, hereditary, and neonatal diseases and abnormalities	COL1A1
congenital, hereditary, and neonatal diseases and abnormalities	ITPR1
congenital, hereditary, and neonatal diseases and abnormalities	EPCAM
congenital, hereditary, and neonatal diseases and abnormalities	KDM5C
congenital, hereditary, and neonatal diseases and abnormalities	SMC1A
congenital, hereditary, and neonatal diseases and abnormalities	PPT1
congenital, hereditary, and neonatal diseases and abnormalities	MT-ATP6
congenital, hereditary, and neonatal diseases and abnormalities	CCDC39
congenital, hereditary, and neonatal diseases and abnormalities	COL4A5
congenital, hereditary, and neonatal diseases and abnormalities	COL4A4
congenital, hereditary, and neonatal diseases and abnormalities	COL3A1
congenital, hereditary, and neonatal diseases and abnormalities	COL2A1
congenital, hereditary, and neonatal diseases and abnormalities	CD36
congenital, hereditary, and neonatal diseases and abnormalities	NTRK1
congenital, hereditary, and neonatal diseases and abnormalities	PRX
congenital, hereditary, and neonatal diseases and abnormalities	COL5A1
congenital, hereditary, and neonatal diseases and abnormalities	NLRP12
congenital, hereditary, and neonatal diseases and abnormalities	PNPLA6
congenital, hereditary, and neonatal diseases and abnormalities	G6PC1
congenital, hereditary, and neonatal diseases and abnormalities	G6PD
congenital, hereditary, and neonatal diseases and abnormalities	CSTB
congenital, hereditary, and neonatal diseases and abnormalities	FBXO25
congenital, hereditary, and neonatal diseases and abnormalities	JPH2
congenital, hereditary, and neonatal diseases and abnormalities	SNRNP200
congenital, hereditary, and neonatal diseases and abnormalities	CDH23
congenital, hereditary, and neonatal diseases and abnormalities	BTD
congenital, hereditary, and neonatal diseases and abnormalities	SLURP1
congenital, hereditary, and neonatal diseases and abnormalities	PDYN
congenital, hereditary, and neonatal diseases and abnormalities	GLA
congenital, hereditary, and neonatal diseases and abnormalities	COL11A2
congenital, hereditary, and neonatal diseases and abnormalities	GCSH
congenital, hereditary, and neonatal diseases and abnormalities	NLRP3
congenital, hereditary, and neonatal diseases and abnormalities	GPC3
congenital, hereditary, and neonatal diseases and abnormalities	COL17A1
congenital, hereditary, and neonatal diseases and abnormalities	SLC12A3
congenital, hereditary, and neonatal diseases and abnormalities	EPM2A
congenital, hereditary, and neonatal diseases and abnormalities	TCAP
congenital, hereditary, and neonatal diseases and abnormalities	UROD
congenital, hereditary, and neonatal diseases and abnormalities	COX15
congenital, hereditary, and neonatal diseases and abnormalities	RP1
congenital, hereditary, and neonatal diseases and abnormalities	AP3B1
congenital, hereditary, and neonatal diseases and abnormalities	FGD4
congenital, hereditary, and neonatal diseases and abnormalities	AGPS
congenital, hereditary, and neonatal diseases and abnormalities	DSP
congenital, hereditary, and neonatal diseases and abnormalities	WAS
congenital, hereditary, and neonatal diseases and abnormalities	PRKCG
congenital, hereditary, and neonatal diseases and abnormalities	KIF5A
congenital, hereditary, and neonatal diseases and abnormalities	VWF
congenital, hereditary, and neonatal diseases and abnormalities	MUSK
congenital, hereditary, and neonatal diseases and abnormalities	PROC
congenital, hereditary, and neonatal diseases and abnormalities	DHH
congenital, hereditary, and neonatal diseases and abnormalities	PRNP
congenital, hereditary, and neonatal diseases and abnormalities	TGFBR2
congenital, hereditary, and neonatal diseases and abnormalities	CPOX
congenital, hereditary, and neonatal diseases and abnormalities	F7
congenital, hereditary, and neonatal diseases and abnormalities	CPS1
congenital, hereditary, and neonatal diseases and abnormalities	SCN1B
congenital, hereditary, and neonatal diseases and abnormalities	SPART
congenital, hereditary, and neonatal diseases and abnormalities	F5
congenital, hereditary, and neonatal diseases and abnormalities	RAI1
congenital, hereditary, and neonatal diseases and abnormalities	F10
congenital, hereditary, and neonatal diseases and abnormalities	PANK2
congenital, hereditary, and neonatal diseases and abnormalities	AFG3L2
congenital, hereditary, and neonatal diseases and abnormalities	OFD1
congenital, hereditary, and neonatal diseases and abnormalities	LDHA
congenital, hereditary, and neonatal diseases and abnormalities	CYP4F22
congenital, hereditary, and neonatal diseases and abnormalities	LCAT
congenital, hereditary, and neonatal diseases and abnormalities	SERPINA1
congenital, hereditary, and neonatal diseases and abnormalities	POMGNT1
congenital, hereditary, and neonatal diseases and abnormalities	RGR
congenital, hereditary, and neonatal diseases and abnormalities	RFXAP
congenital, hereditary, and neonatal diseases and abnormalities	IMMP2L
congenital, hereditary, and neonatal diseases and abnormalities	PHYH
congenital, hereditary, and neonatal diseases and abnormalities	RFX5
congenital, hereditary, and neonatal diseases and abnormalities	SRD5A2
congenital, hereditary, and neonatal diseases and abnormalities	DSG2
congenital, hereditary, and neonatal diseases and abnormalities	EGR2
congenital, hereditary, and neonatal diseases and abnormalities	AGT
congenital, hereditary, and neonatal diseases and abnormalities	SPTB
congenital, hereditary, and neonatal diseases and abnormalities	AP5Z1
congenital, hereditary, and neonatal diseases and abnormalities	ANOS1
congenital, hereditary, and neonatal diseases and abnormalities	SEC23B
congenital, hereditary, and neonatal diseases and abnormalities	UBE2A
congenital, hereditary, and neonatal diseases and abnormalities	FLNC
congenital, hereditary, and neonatal diseases and abnormalities	TSHR
congenital, hereditary, and neonatal diseases and abnormalities	DOLK
congenital, hereditary, and neonatal diseases and abnormalities	HPD
congenital, hereditary, and neonatal diseases and abnormalities	CDHR1
congenital, hereditary, and neonatal diseases and abnormalities	SOX2
congenital, hereditary, and neonatal diseases and abnormalities	ANO5
congenital, hereditary, and neonatal diseases and abnormalities	KRAS
congenital, hereditary, and neonatal diseases and abnormalities	PRPF8
congenital, hereditary, and neonatal diseases and abnormalities	TGM6
congenital, hereditary, and neonatal diseases and abnormalities	CAPN3
congenital, hereditary, and neonatal diseases and abnormalities	KRT1
congenital, hereditary, and neonatal diseases and abnormalities	EYS
congenital, hereditary, and neonatal diseases and abnormalities	MSX2
congenital, hereditary, and neonatal diseases and abnormalities	SLC16A2
congenital, hereditary, and neonatal diseases and abnormalities	SCN4A
congenital, hereditary, and neonatal diseases and abnormalities	SYP
congenital, hereditary, and neonatal diseases and abnormalities	PDZD7
congenital, hereditary, and neonatal diseases and abnormalities	ABCC2
congenital, hereditary, and neonatal diseases and abnormalities	DYNC2H1
congenital, hereditary, and neonatal diseases and abnormalities	GLIS3
congenital, hereditary, and neonatal diseases and abnormalities	WNK4
congenital, hereditary, and neonatal diseases and abnormalities	TNNT2
congenital, hereditary, and neonatal diseases and abnormalities	NKX2-5
congenital, hereditary, and neonatal diseases and abnormalities	CRB1
congenital, hereditary, and neonatal diseases and abnormalities	PPOX
congenital, hereditary, and neonatal diseases and abnormalities	TFR2
congenital, hereditary, and neonatal diseases and abnormalities	TG
congenital, hereditary, and neonatal diseases and abnormalities	LIG4
congenital, hereditary, and neonatal diseases and abnormalities	TNNC1
congenital, hereditary, and neonatal diseases and abnormalities	TNNI3
congenital, hereditary, and neonatal diseases and abnormalities	ERCC2
congenital, hereditary, and neonatal diseases and abnormalities	PHEX
congenital, hereditary, and neonatal diseases and abnormalities	GRHPR
congenital, hereditary, and neonatal diseases and abnormalities	NDUFS8
congenital, hereditary, and neonatal diseases and abnormalities	COG1
congenital, hereditary, and neonatal diseases and abnormalities	PHKA1
congenital, hereditary, and neonatal diseases and abnormalities	SOX9
congenital, hereditary, and neonatal diseases and abnormalities	SOX10
congenital, hereditary, and neonatal diseases and abnormalities	PKP1
congenital, hereditary, and neonatal diseases and abnormalities	NDUFV1
congenital, hereditary, and neonatal diseases and abnormalities	PKHD1
congenital, hereditary, and neonatal diseases and abnormalities	GOSR2
congenital, hereditary, and neonatal diseases and abnormalities	TTR
congenital, hereditary, and neonatal diseases and abnormalities	POU6F2
congenital, hereditary, and neonatal diseases and abnormalities	DNAL1
congenital, hereditary, and neonatal diseases and abnormalities	PORCN
congenital, hereditary, and neonatal diseases and abnormalities	B4GALT7
congenital, hereditary, and neonatal diseases and abnormalities	TMEM126A
congenital, hereditary, and neonatal diseases and abnormalities	CTSC
congenital, hereditary, and neonatal diseases and abnormalities	BBS4
congenital, hereditary, and neonatal diseases and abnormalities	BBS1
congenital, hereditary, and neonatal diseases and abnormalities	BBS2
congenital, hereditary, and neonatal diseases and abnormalities	KCNC3
congenital, hereditary, and neonatal diseases and abnormalities	DLD
congenital, hereditary, and neonatal diseases and abnormalities	ADAM9
congenital, hereditary, and neonatal diseases and abnormalities	ATXN10
congenital, hereditary, and neonatal diseases and abnormalities	GDF5
congenital, hereditary, and neonatal diseases and abnormalities	CHRNA1
congenital, hereditary, and neonatal diseases and abnormalities	MTR
congenital, hereditary, and neonatal diseases and abnormalities	SCN3B
congenital, hereditary, and neonatal diseases and abnormalities	MYH6
congenital, hereditary, and neonatal diseases and abnormalities	MYH7
congenital, hereditary, and neonatal diseases and abnormalities	MYH8
congenital, hereditary, and neonatal diseases and abnormalities	MYH9
congenital, hereditary, and neonatal diseases and abnormalities	MT-ND6
congenital, hereditary, and neonatal diseases and abnormalities	MT-ND5
congenital, hereditary, and neonatal diseases and abnormalities	LAMC2
congenital, hereditary, and neonatal diseases and abnormalities	ALPL
congenital, hereditary, and neonatal diseases and abnormalities	GATA1
congenital, hereditary, and neonatal diseases and abnormalities	MTTP
congenital, hereditary, and neonatal diseases and abnormalities	PRICKLE2
congenital, hereditary, and neonatal diseases and abnormalities	ANKRD1
congenital, hereditary, and neonatal diseases and abnormalities	FHL1
congenital, hereditary, and neonatal diseases and abnormalities	CAVIN1
congenital, hereditary, and neonatal diseases and abnormalities	LIPN
congenital, hereditary, and neonatal diseases and abnormalities	ALG6
congenital, hereditary, and neonatal diseases and abnormalities	ITGB4
congenital, hereditary, and neonatal diseases and abnormalities	WT1
congenital, hereditary, and neonatal diseases and abnormalities	CIITA
congenital, hereditary, and neonatal diseases and abnormalities	DHDDS
congenital, hereditary, and neonatal diseases and abnormalities	PEX3
congenital, hereditary, and neonatal diseases and abnormalities	SMC3
congenital, hereditary, and neonatal diseases and abnormalities	NOG
congenital, hereditary, and neonatal diseases and abnormalities	PRPF3
congenital, hereditary, and neonatal diseases and abnormalities	POLR1C
congenital, hereditary, and neonatal diseases and abnormalities	COG4
congenital, hereditary, and neonatal diseases and abnormalities	YARS1
congenital, hereditary, and neonatal diseases and abnormalities	DYSF
congenital, hereditary, and neonatal diseases and abnormalities	ITK
congenital, hereditary, and neonatal diseases and abnormalities	SLC6A8
congenital, hereditary, and neonatal diseases and abnormalities	AGL
congenital, hereditary, and neonatal diseases and abnormalities	ZNF674
congenital, hereditary, and neonatal diseases and abnormalities	AGA
congenital, hereditary, and neonatal diseases and abnormalities	RET
congenital, hereditary, and neonatal diseases and abnormalities	WNK1
congenital, hereditary, and neonatal diseases and abnormalities	RBM10
congenital, hereditary, and neonatal diseases and abnormalities	MT-ND4
congenital, hereditary, and neonatal diseases and abnormalities	MT-ND4L
congenital, hereditary, and neonatal diseases and abnormalities	OAT
congenital, hereditary, and neonatal diseases and abnormalities	ITGB3
congenital, hereditary, and neonatal diseases and abnormalities	MT-ND1
congenital, hereditary, and neonatal diseases and abnormalities	MT-ND2
congenital, hereditary, and neonatal diseases and abnormalities	MT-ND3
congenital, hereditary, and neonatal diseases and abnormalities	OCA2
congenital, hereditary, and neonatal diseases and abnormalities	FREM2
congenital, hereditary, and neonatal diseases and abnormalities	JAG1
congenital, hereditary, and neonatal diseases and abnormalities	SLC40A1
congenital, hereditary, and neonatal diseases and abnormalities	RECQL4
congenital, hereditary, and neonatal diseases and abnormalities	AGTR2
congenital, hereditary, and neonatal diseases and abnormalities	SCN9A
congenital, hereditary, and neonatal diseases and abnormalities	AGTR1
congenital, hereditary, and neonatal diseases and abnormalities	ETFDH
congenital, hereditary, and neonatal diseases and abnormalities	PEX16
congenital, hereditary, and neonatal diseases and abnormalities	GTF2H5
congenital, hereditary, and neonatal diseases and abnormalities	HGD
congenital, hereditary, and neonatal diseases and abnormalities	PTPN11
congenital, hereditary, and neonatal diseases and abnormalities	COL4A3
congenital, hereditary, and neonatal diseases and abnormalities	CHN1
congenital, hereditary, and neonatal diseases and abnormalities	GATA4
congenital, hereditary, and neonatal diseases and abnormalities	AASS
congenital, hereditary, and neonatal diseases and abnormalities	KRT17
congenital, hereditary, and neonatal diseases and abnormalities	ATP6AP2
congenital, hereditary, and neonatal diseases and abnormalities	RAD51D
congenital, hereditary, and neonatal diseases and abnormalities	RAF1
congenital, hereditary, and neonatal diseases and abnormalities	KLF1
congenital, hereditary, and neonatal diseases and abnormalities	RAG1
congenital, hereditary, and neonatal diseases and abnormalities	NDRG1
congenital, hereditary, and neonatal diseases and abnormalities	KLK4
congenital, hereditary, and neonatal diseases and abnormalities	HSD3B2
congenital, hereditary, and neonatal diseases and abnormalities	HPS5
congenital, hereditary, and neonatal diseases and abnormalities	SCN4B
congenital, hereditary, and neonatal diseases and abnormalities	NAGLU
congenital, hereditary, and neonatal diseases and abnormalities	AFF2
congenital, hereditary, and neonatal diseases and abnormalities	HGSNAT
congenital, hereditary, and neonatal diseases and abnormalities	KRT81
congenital, hereditary, and neonatal diseases and abnormalities	WHRN
congenital, hereditary, and neonatal diseases and abnormalities	SLC52A1
congenital, hereditary, and neonatal diseases and abnormalities	MBNL1
congenital, hereditary, and neonatal diseases and abnormalities	RSPH9
congenital, hereditary, and neonatal diseases and abnormalities	AARS1
congenital, hereditary, and neonatal diseases and abnormalities	ABCA1
congenital, hereditary, and neonatal diseases and abnormalities	ATP2C1
congenital, hereditary, and neonatal diseases and abnormalities	ATP6V0A4
congenital, hereditary, and neonatal diseases and abnormalities	KRT83
congenital, hereditary, and neonatal diseases and abnormalities	ACAD8
congenital, hereditary, and neonatal diseases and abnormalities	FKBP10
congenital, hereditary, and neonatal diseases and abnormalities	ENG
congenital, hereditary, and neonatal diseases and abnormalities	LAMTOR2
congenital, hereditary, and neonatal diseases and abnormalities	GJA1
congenital, hereditary, and neonatal diseases and abnormalities	DTNBP1
congenital, hereditary, and neonatal diseases and abnormalities	BRWD3
congenital, hereditary, and neonatal diseases and abnormalities	THAP1
congenital, hereditary, and neonatal diseases and abnormalities	GHSR
congenital, hereditary, and neonatal diseases and abnormalities	CRTAP
congenital, hereditary, and neonatal diseases and abnormalities	GHR
congenital, hereditary, and neonatal diseases and abnormalities	CLN6
congenital, hereditary, and neonatal diseases and abnormalities	AGXT
congenital, hereditary, and neonatal diseases and abnormalities	GALT
congenital, hereditary, and neonatal diseases and abnormalities	LAMA3
congenital, hereditary, and neonatal diseases and abnormalities	SYNE1
congenital, hereditary, and neonatal diseases and abnormalities	NF1
congenital, hereditary, and neonatal diseases and abnormalities	PFKM
congenital, hereditary, and neonatal diseases and abnormalities	RAX2
congenital, hereditary, and neonatal diseases and abnormalities	NPC2
congenital, hereditary, and neonatal diseases and abnormalities	SLC9A6
congenital, hereditary, and neonatal diseases and abnormalities	BMPR1A
congenital, hereditary, and neonatal diseases and abnormalities	CHST6
congenital, hereditary, and neonatal diseases and abnormalities	HOXD10
congenital, hereditary, and neonatal diseases and abnormalities	IYD
congenital, hereditary, and neonatal diseases and abnormalities	FTSJ1
congenital, hereditary, and neonatal diseases and abnormalities	FASLG
congenital, hereditary, and neonatal diseases and abnormalities	PQBP1
congenital, hereditary, and neonatal diseases and abnormalities	PEX13
congenital, hereditary, and neonatal diseases and abnormalities	HOXD13
congenital, hereditary, and neonatal diseases and abnormalities	PEX7
congenital, hereditary, and neonatal diseases and abnormalities	PEX6
congenital, hereditary, and neonatal diseases and abnormalities	PEX12
congenital, hereditary, and neonatal diseases and abnormalities	PEX10
congenital, hereditary, and neonatal diseases and abnormalities	ZFYVE27
congenital, hereditary, and neonatal diseases and abnormalities	FRMD7
congenital, hereditary, and neonatal diseases and abnormalities	FIG4
congenital, hereditary, and neonatal diseases and abnormalities	CST3
congenital, hereditary, and neonatal diseases and abnormalities	POLR1D
congenital, hereditary, and neonatal diseases and abnormalities	APC
congenital, hereditary, and neonatal diseases and abnormalities	LIPA
congenital, hereditary, and neonatal diseases and abnormalities	PROM1
congenital, hereditary, and neonatal diseases and abnormalities	PAX3
congenital, hereditary, and neonatal diseases and abnormalities	POMT2
congenital, hereditary, and neonatal diseases and abnormalities	PHOX2B
congenital, hereditary, and neonatal diseases and abnormalities	CACNA1C
congenital, hereditary, and neonatal diseases and abnormalities	GBA
congenital, hereditary, and neonatal diseases and abnormalities	AK2
congenital, hereditary, and neonatal diseases and abnormalities	AKT1
congenital, hereditary, and neonatal diseases and abnormalities	CACNA1S
congenital, hereditary, and neonatal diseases and abnormalities	CACNA1F
congenital, hereditary, and neonatal diseases and abnormalities	COX6B1
congenital, hereditary, and neonatal diseases and abnormalities	COL5A2
congenital, hereditary, and neonatal diseases and abnormalities	TSPAN7
congenital, hereditary, and neonatal diseases and abnormalities	GUCA1B
congenital, hereditary, and neonatal diseases and abnormalities	ADAMTS10
congenital, hereditary, and neonatal diseases and abnormalities	ACTC1
congenital, hereditary, and neonatal diseases and abnormalities	GDF6
congenital, hereditary, and neonatal diseases and abnormalities	TBXT
congenital, hereditary, and neonatal diseases and abnormalities	HAMP
congenital, hereditary, and neonatal diseases and abnormalities	FMR1
congenital, hereditary, and neonatal diseases and abnormalities	COL18A1
congenital, hereditary, and neonatal diseases and abnormalities	CRELD1
congenital, hereditary, and neonatal diseases and abnormalities	CYP27B1
congenital, hereditary, and neonatal diseases and abnormalities	XPC
congenital, hereditary, and neonatal diseases and abnormalities	HSD17B10
congenital, hereditary, and neonatal diseases and abnormalities	POR
congenital, hereditary, and neonatal diseases and abnormalities	RPL11
congenital, hereditary, and neonatal diseases and abnormalities	GNPTAB
congenital, hereditary, and neonatal diseases and abnormalities	CASP10
congenital, hereditary, and neonatal diseases and abnormalities	HEXB
congenital, hereditary, and neonatal diseases and abnormalities	DMPK
congenital, hereditary, and neonatal diseases and abnormalities	NME8
congenital, hereditary, and neonatal diseases and abnormalities	DNAH5
congenital, hereditary, and neonatal diseases and abnormalities	HSPB8
congenital, hereditary, and neonatal diseases and abnormalities	CCM2
congenital, hereditary, and neonatal diseases and abnormalities	CHRNB1
congenital, hereditary, and neonatal diseases and abnormalities	IL1RAPL1
congenital, hereditary, and neonatal diseases and abnormalities	CYP27A1
congenital, hereditary, and neonatal diseases and abnormalities	CHRND
congenital, hereditary, and neonatal diseases and abnormalities	CHRNE
congenital, hereditary, and neonatal diseases and abnormalities	RFXANK
congenital, hereditary, and neonatal diseases and abnormalities	TP63
congenital, hereditary, and neonatal diseases and abnormalities	RAG2
congenital, hereditary, and neonatal diseases and abnormalities	PDE8B
congenital, hereditary, and neonatal diseases and abnormalities	PCCA
congenital, hereditary, and neonatal diseases and abnormalities	ABCD1
congenital, hereditary, and neonatal diseases and abnormalities	RIMS1
congenital, hereditary, and neonatal diseases and abnormalities	NIPA1
congenital, hereditary, and neonatal diseases and abnormalities	VPS13A
congenital, hereditary, and neonatal diseases and abnormalities	ITGA6
congenital, hereditary, and neonatal diseases and abnormalities	TSC1
congenital, hereditary, and neonatal diseases and abnormalities	MSH6
congenital, hereditary, and neonatal diseases and abnormalities	SERPINF1
congenital, hereditary, and neonatal diseases and abnormalities	CYP1B1
congenital, hereditary, and neonatal diseases and abnormalities	ZMYM3
congenital, hereditary, and neonatal diseases and abnormalities	ATP6V1B1
congenital, hereditary, and neonatal diseases and abnormalities	NRL
congenital, hereditary, and neonatal diseases and abnormalities	FRAS1
congenital, hereditary, and neonatal diseases and abnormalities	GDI1
congenital, hereditary, and neonatal diseases and abnormalities	PDCD10
congenital, hereditary, and neonatal diseases and abnormalities	TINF2
congenital, hereditary, and neonatal diseases and abnormalities	ATP7B
congenital, hereditary, and neonatal diseases and abnormalities	ATRX
congenital, hereditary, and neonatal diseases and abnormalities	KIF1A
congenital, hereditary, and neonatal diseases and abnormalities	FA2H
congenital, hereditary, and neonatal diseases and abnormalities	FGB
congenital, hereditary, and neonatal diseases and abnormalities	FGD1
congenital, hereditary, and neonatal diseases and abnormalities	SMOC1
congenital, hereditary, and neonatal diseases and abnormalities	FGA
