side_effect	protein	ADJ_pvalue
Orgasm abnormal	ADRA2A	0.114499770984026
Oropharyngeal discomfort	ADRA2A	0.0790155208868868
Orthostatic hypotension	ADRA2A	7.31756994878806e-07
Pallor	ADRA2A	0.127349567701377
Palpitations	ADRA2A	0.0637455424146545
Panic attack	ADRA2A	0.126088260449711
Panic reaction	ADRA2A	0.184489753094701
Paranoia	ADRA2A	0.0172087653027072
Parkinson's disease	ADRA2A	0.0434330183444864
Parkinsonian rest tremor	ADRA2A	0.00783195752604333
Parkinsonism	ADRA2A	2.59838443013814e-08
Parotid gland enlargement	ADRA2A	0.00933147065344573
Petechiae	ADRA2A	0.0200055514585971
Petit mal epilepsy	ADRA2A	0.0883890603810962
Photophobia	ADRA2A	0.0931975985538723
Photosensitivity reaction	ADRA2A	0.0504262869975492
Pneumonia aspiration	ADRA2A	0.0621031520522626
Pollakiuria	ADRA2A	0.0167774405655662
Polydipsia	ADRA2A	0.019948532067577
Pregnancy	ADRA2A	0.00173999215728131
Pregnancy test false positive	ADRA2A	0.0218753742193473
Priapism	ADRA2A	8.73142638816823e-08
Prostatitis	ADRA2A	0.17391514475418
Protrusion tongue	ADRA2A	0.00334727747636385
Psychotic disorder	ADRA2A	5.55993025269686e-05
Pulmonary embolism	ADRA2A	0.0514600709889122
Purpura	ADRA2A	0.113295469277919
Restless legs syndrome	ADRA2A	0.000390979215664652
Rhabdomyolysis	ADRA2A	0.052940361778107
Salivary gland enlargement	ADRA2A	0.163683413185613
Salivary hypersecretion	ADRA2A	0.00334727747636385
Salpingitis	ADRA2A	0.0883890603810962
Seborrhoeic dermatitis	ADRA2A	0.0302389989983241
Self-injurious ideation	ADRA2A	0.0635017431105818
Sensory loss	ADRA2A	0.18989130039847
Serotonin syndrome	ADRA2A	0.0242960311253295
Sexual dysfunction	ADRA2A	0.0186237486469368
Sialoadenitis	ADRA2A	0.17391514475418
Sinus headache	ADRA2A	0.163683413185613
Sinus tachycardia	ADRA2A	0.00723740995632234
Skin irritation	ADRA2A	0.163683413185613
Sleep apnoea syndrome	ADRA2A	0.0434330183444864
Sleep talking	ADRA2A	0.0635017431105818
Sluggishness	ADRA2A	0.0434330183444864
Somnambulism	ADRA2A	0.123105675739693
Somnolence	ADRA2A	0.000531473362234893
Speech disorder	ADRA2A	0.112749276550251
Stupor	ADRA2A	0.0261117181177315
Sudden death	ADRA2A	0.000989440305382982
Suicidal ideation	ADRA2A	0.00117629235079928
Suicide attempt	ADRA2A	0.0425227414389422
Sunburn	ADRA2A	0.17391514475418
Swollen tongue	ADRA2A	0.0621031520522626
Syncope	ADRA2A	0.113232665474524
Tachycardia	ADRA2A	9.52826634688979e-05
Tardive dyskinesia	ADRA2A	4.75311270830704e-08
Tenosynovitis	ADRA2A	0.00933147065344573
Testicular swelling	ADRA2A	0.00219663700942319
Thirst	ADRA2A	0.189378687496603
Throat tightness	ADRA2A	5.98070927305545e-05
Thrombocytopenia	ADRA2A	0.171783183343533
Tinnitus	ADRA2A	0.0804020849478856
Tongue discolouration	ADRA2A	0.000573127237479423
Tongue disorder	ADRA2A	0.151544349993072
Tongue oedema	ADRA2A	0.101456305745104
Tooth abscess	ADRA2A	0.0761573489813683
Toothache	ADRA2A	0.116069204043691
Torsade de pointes	ADRA2A	7.15138637077155e-05
Torticollis	ADRA2A	0.00933147065344573
Tremor	ADRA2A	0.000295630217946335
Trismus	ADRA2A	0.0332320585537103
Urinary incontinence	ADRA2A	0.0547719650734931
Urinary retention	ADRA2A	3.74651270794231e-06
Uterine leiomyoma	ADRA2A	0.034178541337279
Vaginal discharge	ADRA2A	0.147081664428425
Varicose vein	ADRA2A	0.1183627165646
Vascular purpura	ADRA2A	0.183581924519981
Ventricular extrasystoles	ADRA2A	0.143026488511377
Ventricular fibrillation	ADRA2A	0.0581872224873174
Ventricular tachycardia	ADRA2A	0.00662600082101952
VIIth nerve paralysis	ADRA2A	0.156310215204654
Vision blurred	ADRA2A	0.030027511897432
Vulvovaginal candidiasis	ADRA2A	0.0502309743945687
Vulvovaginal mycotic infection	ADRA2A	0.0502309743945687
Weight decreased	ADRA2A	0.0787160937620906
Weight increased	ADRA2A	4.95661482289829e-07
Withdrawal syndrome	ADRA2A	0.19064003556435
Yawning	ADRA2A	0.174017856430096
Abdominal discomfort	ADRA2B	0.100612258450256
Adenoma benign	ADRA2B	0.143784250171396
Agitation	ADRA2B	0.184495629887554
Akathisia	ADRA2B	0.00302169808454438
Akinesia	ADRA2B	8.21117239370513e-05
Amenorrhoea	ADRA2B	0.0741661769194574
Anorgasmia	ADRA2B	0.046329930772905
Atrioventricular block	ADRA2B	0.0506703069022294
Atrioventricular block first degree	ADRA2B	0.104030725848811
Balance disorder	ADRA2B	0.127184168700665
Bipolar I disorder	ADRA2B	0.0477331063983025
Blepharitis	ADRA2B	0.104589191018789
Blepharospasm	ADRA2B	0.023214214010879
Blood cholesterol increased	ADRA2B	0.0310785042819067
Blood insulin increased	ADRA2B	0.0117402043036532
Blood prolactin increased	ADRA2B	0.000593001528097376
Blood triglycerides increased	ADRA2B	0.119351988223164
Blunted affect	ADRA2B	0.0117402043036532
Body temperature decreased	ADRA2B	0.0101443521030844
Bradycardia	ADRA2B	0.0466667773448416
Bradykinesia	ADRA2B	0.00310215585068514
Brain neoplasm	ADRA2B	0.143784250171396
Breast discharge	ADRA2B	0.085700292844756
Breast discomfort	ADRA2B	0.0273664878300497
Breast disorder	ADRA2B	0.184639643089869
Breast engorgement	ADRA2B	0.113462370102949
Breast feeding	ADRA2B	0.128478299028257
Buccoglossal syndrome	ADRA2B	0.0117402043036532
Bundle branch block	ADRA2B	0.0637455424146545
Bundle branch block right	ADRA2B	0.175196114012033
Cardio-respiratory arrest	ADRA2B	0.176510774532613
Catatonia	ADRA2B	0.0282310521871025
Cholinergic syndrome	ADRA2B	0.143784250171396
Choreoathetosis	ADRA2B	0.00735656581781343
Cogwheel rigidity	ADRA2B	0.00409504917277901
Completed suicide	ADRA2B	0.0547391010486363
Depressive symptom	ADRA2B	0.128478299028257
Diabetes mellitus	ADRA2B	0.0933424705458797
Diabetic coma	ADRA2B	0.00123295111311678
Diabetic hyperglycaemic coma	ADRA2B	0.00123295111311678
Diabetic ketoacidosis	ADRA2B	0.00375779400002594
Dizziness postural	ADRA2B	0.00518240474638249
Drooling	ADRA2B	0.00529408456861402
Drug withdrawal syndrome neonatal	ADRA2B	3.7426779922395e-05
Dry eye	ADRA2B	0.089393145344316
Dysarthria	ADRA2B	0.0741661769194574
Dyskinesia	ADRA2B	0.0200789773993349
Dyslipidaemia	ADRA2B	0.0190367417850203
Dysphagia	ADRA2B	0.194518540143287
Dysphemia	ADRA2B	0.0117402043036532
Ejaculation disorder	ADRA2B	0.0133869626870103
Electrocardiogram change	ADRA2B	0.193225409245315
Electrocardiogram QT prolonged	ADRA2B	0.00349848514943967
Electrocardiogram T wave inversion	ADRA2B	0.00310215585068514
Embolism venous	ADRA2B	0.0838298030880812
Enuresis	ADRA2B	0.0014322199350472
Eosinophil count increased	ADRA2B	0.00375779400002594
Erectile dysfunction	ADRA2B	0.0228974268959248
Extrapyramidal disorder	ADRA2B	0.00413367663893298
Eye discharge	ADRA2B	0.0993359590011923
Eye infection	ADRA2B	0.128478299028257
Eye movement disorder	ADRA2B	0.0273664878300497
Eyelid disorder	ADRA2B	0.143784250171396
Eyelid margin crusting	ADRA2B	0.113433827100755
Eyelid ptosis	ADRA2B	0.175196114012033
Faecalith	ADRA2B	0.0993359590011923
Faecaloma	ADRA2B	0.0993359590011923
Floppy iris syndrome	ADRA2B	0.113433827100755
Galactorrhoea	ADRA2B	0.00302169808454438
Glycosuria	ADRA2B	0.160600436505921
Grand mal convulsion	ADRA2B	0.119351988223164
Gynaecomastia	ADRA2B	0.0241273681906929
Haematocrit decreased	ADRA2B	0.0775701467691213
Heart rate irregular	ADRA2B	0.0399104511938357
Heat stroke	ADRA2B	0.0111700845831202
Hepatic enzyme increased	ADRA2B	0.130747356679078
Hepatic steatosis	ADRA2B	0.176510774532613
Hyperkinesia	ADRA2B	0.151721523898434
Hyperphagia	ADRA2B	0.037179020171982
Hyperprolactinaemia	ADRA2B	0.00233246486140988
Hypersomnia	ADRA2B	0.0149619556898063
Hypertriglyceridaemia	ADRA2B	0.0838298030880812
Hypochromic anaemia	ADRA2B	0.12347016166437
Hypokinesia	ADRA2B	0.0196207591327668
Hypomania	ADRA2B	0.12347016166437
Hypotension	ADRA2B	0.163150475057213
Hypothermia	ADRA2B	0.0101443521030844
Inappropriate antidiuretic hormone secretion	ADRA2B	0.196626733964176
Initial insomnia	ADRA2B	0.085700292844756
Injection site induration	ADRA2B	0.175196114012033
Injection site necrosis	ADRA2B	0.175196114012033
Laryngospasm	ADRA2B	0.083561645410636
Lethargy	ADRA2B	0.0869891558312472
Leukocytosis	ADRA2B	0.104684278200719
Libido increased	ADRA2B	0.18720021854439
Localised infection	ADRA2B	0.175196114012033
Lower respiratory tract infection	ADRA2B	0.160460900694446
Masked facies	ADRA2B	0.000697513005536482
Menstruation delayed	ADRA2B	0.175196114012033
Menstruation irregular	ADRA2B	0.178495891437069
Middle insomnia	ADRA2B	0.0598226331002377
Movement disorder	ADRA2B	0.0395273182161853
Muscle contractions involuntary	ADRA2B	0.0778957736923484
Muscle rigidity	ADRA2B	0.000541915892316191
Muscle tightness	ADRA2B	0.143915411351509
Muscle twitching	ADRA2B	0.115629170894192
Myocarditis	ADRA2B	0.160460900694446
Myoclonus	ADRA2B	0.0295770695180704
Myoglobin urine present	ADRA2B	0.143784250171396
Myoglobinuria	ADRA2B	0.143784250171396
Nasal congestion	ADRA2B	0.0254226757412702
Neuroleptic malignant syndrome	ADRA2B	0.000181546101337817
Nightmare	ADRA2B	0.0137054148018411
Obesity	ADRA2B	0.128478299028257
Ocular hyperaemia	ADRA2B	0.0272674831569002
Oculogyric crisis	ADRA2B	0.00173046656196905
Onychomycosis	ADRA2B	0.0993359590011923
Opisthotonus	ADRA2B	0.0399104511938357
Orthostatic hypotension	ADRA2B	0.00144925128702949
Pallor	ADRA2B	0.104684278200719
Parkinsonian rest tremor	ADRA2B	0.0190367417850203
Parkinsonism	ADRA2B	0.00109733371316252
Parotid gland enlargement	ADRA2B	0.143915411351509
Pneumonia aspiration	ADRA2B	0.00844941729005088
Polydipsia	ADRA2B	0.000143461399283066
Pregnancy	ADRA2B	0.00457733914385611
Priapism	ADRA2B	0.00395919157820931
Psychotic disorder	ADRA2B	0.0086323115020119
Rash papular	ADRA2B	0.0943665281737221
Restless legs syndrome	ADRA2B	0.000461490575871454
Retrograde ejaculation	ADRA2B	0.113433827100755
Rhabdomyolysis	ADRA2B	0.0944370367106121
Salivary hypersecretion	ADRA2B	0.0745162636932108
Schizophrenia	ADRA2B	0.113433827100755
Sexual dysfunction	ADRA2B	0.0395003623159454
Sinus arrhythmia	ADRA2B	0.0724505298081766
Sinus congestion	ADRA2B	0.13320331529815
Sinus tachycardia	ADRA2B	0.0778957736923484
Sleep apnoea syndrome	ADRA2B	0.0598226331002377
Sluggishness	ADRA2B	0.00820212737601353
Somnambulism	ADRA2B	0.128478299028257
Somnolence	ADRA2B	0.0839635017982806
Sudden death	ADRA2B	0.0191959627163039
Suicidal ideation	ADRA2B	0.111917808740252
Swollen tongue	ADRA2B	0.00844941729005088
Tachycardia	ADRA2B	0.0438096155100563
Tardive dyskinesia	ADRA2B	6.45944333186524e-05
Throat tightness	ADRA2B	0.00010359761967411
Tongue oedema	ADRA2B	0.178495891437069
Tongue paralysis	ADRA2B	0.0190367417850203
Toothache	ADRA2B	0.111615622437977
Torsade de pointes	ADRA2B	0.0128476863183278
Torticollis	ADRA2B	0.04423597092209
Tremor	ADRA2B	0.109955242877639
Trismus	ADRA2B	0.04423597092209
Unresponsive to stimuli	ADRA2B	0.0190367417850203
Urinary retention	ADRA2B	0.159674517977161
Water intoxication	ADRA2B	0.037179020171982
Weight increased	ADRA2B	0.00610668969167851
Wheezing	ADRA2B	0.181704540050062
White blood cell count decreased	ADRA2B	0.189378687496603
White blood cells urine positive	ADRA2B	0.143784250171396
Abdominal discomfort	ADRA2C	0.137874175262379
Adenocarcinoma	ADRA2C	0.175242373059483
Adenoma benign	ADRA2C	0.105047027740966
Agranulocytosis	ADRA2C	0.173881844201967
Akathisia	ADRA2C	0.000404069256298193
Akinesia	ADRA2C	1.17260958512223e-05
Amenorrhoea	ADRA2C	0.0195160431686204
Anorgasmia	ADRA2C	0.0230992903358773
Atrioventricular block	ADRA2C	0.122286917159191
Atrioventricular block first degree	ADRA2C	0.0553593039738363
Balance disorder	ADRA2C	0.180924908778521
Bipolar disorder	ADRA2C	0.151721523898434
Bipolar I disorder	ADRA2C	0.0282310521871025
Blepharitis	ADRA2C	0.154772054074417
Blepharospasm	ADRA2C	0.0709653601920146
Blood cholesterol increased	ADRA2C	0.0125900444383231
Blood insulin increased	ADRA2C	0.00652899749956892
Blood prolactin increased	ADRA2C	0.000152116384889246
Blood triglycerides increased	ADRA2C	0.0557373117990841
Blunted affect	ADRA2C	0.00652899749956892
Body temperature decreased	ADRA2C	0.00246632408586754
Bradycardia	ADRA2C	0.10102312593377
Bradykinesia	ADRA2C	0.00109536216887
Bradyphrenia	ADRA2C	0.198182200439982
Brain neoplasm	ADRA2C	0.105047027740966
Breast discharge	ADRA2C	0.0521944901230705
Breast discomfort	ADRA2C	0.0158314097812261
Breast disorder	ADRA2C	0.12687056685001
Breast engorgement	ADRA2C	0.0709653601920146
Breast feeding	ADRA2C	0.0814082847942934
Buccoglossal syndrome	ADRA2C	0.00652899749956892
Bundle branch block	ADRA2C	0.0233168361819577
Bundle branch block left	ADRA2C	0.151721523898434
Bundle branch block right	ADRA2C	0.128324707804536
Cardio-respiratory arrest	ADRA2C	0.112948813431362
Catatonia	ADRA2C	0.0137054148018411
Cerebral ischaemia	ADRA2C	0.122286917159191
Cholinergic syndrome	ADRA2C	0.105047027740966
Chorea	ADRA2C	0.175242373059483
Choreoathetosis	ADRA2C	0.00218780853667336
Cogwheel rigidity	ADRA2C	0.00147108362700168
Completed suicide	ADRA2C	0.0197378449995022
Deep vein thrombosis	ADRA2C	0.158869770672464
Depressive symptom	ADRA2C	0.0814082847942934
Diabetes mellitus	ADRA2C	0.0259450517964957
Diabetic coma	ADRA2C	0.000527223431335805
Diabetic hyperglycaemic coma	ADRA2C	0.000527223431335805
Diabetic ketoacidosis	ADRA2C	0.00166835630720348
Dizziness postural	ADRA2C	0.0108987975234486
Drooling	ADRA2C	0.00192533407061972
Drug withdrawal syndrome neonatal	ADRA2C	9.00632722044719e-06
Dry eye	ADRA2C	0.0748043971737206
Dry throat	ADRA2C	0.17306584188651
Dysarthria	ADRA2C	0.0195160431686204
Dyskinesia	ADRA2C	0.0114384134444042
Dyslipidaemia	ADRA2C	0.0107153528543563
Dysmenorrhoea	ADRA2C	0.122286917159191
Dysphagia	ADRA2C	0.113433827100755
Dysphemia	ADRA2C	0.00652899749956892
Ejaculation disorder	ADRA2C	0.00405704738601737
Electrocardiogram change	ADRA2C	0.124468816050819
Electrocardiogram QT prolonged	ADRA2C	0.000620430779003938
Electrocardiogram T wave inversion	ADRA2C	0.00109536216887
Embolism venous	ADRA2C	0.0373881762178344
Enuresis	ADRA2C	0.00383608249537326
Eosinophil count increased	ADRA2C	0.00166835630720348
Erectile dysfunction	ADRA2C	0.0602873275061646
Extrapyramidal disorder	ADRA2C	0.00253419240569791
Eye infection	ADRA2C	0.0814082847942934
Eye movement disorder	ADRA2C	0.0158314097812261
Faecalith	ADRA2C	0.0613675027484147
Faecaloma	ADRA2C	0.0613675027484147
Faeces discoloured	ADRA2C	0.198182200439982
Floppy iris syndrome	ADRA2C	0.0824247154484813
Gait disturbance	ADRA2C	0.109902166950303
Galactorrhoea	ADRA2C	0.00255451742219933
Gamma-glutamyltransferase increased	ADRA2C	0.179078822582336
Glucose tolerance decreased	ADRA2C	0.175242373059483
Glycosuria	ADRA2C	0.0787160937620906
Grand mal convulsion	ADRA2C	0.0557373117990841
Gynaecomastia	ADRA2C	0.0137306753168624
Haematocrit decreased	ADRA2C	0.160460900694446
Heart rate irregular	ADRA2C	0.102011059133019
Heat stroke	ADRA2C	0.00503599099176024
Hepatic enzyme increased	ADRA2C	0.0462411645523698
Hepatic steatosis	ADRA2C	0.112948813431362
Hyperkeratosis	ADRA2C	0.135657578324558
Hyperkinesia	ADRA2C	0.0469145127652741
Hyperphagia	ADRA2C	0.0217579165660466
Hyperprolactinaemia	ADRA2C	0.000646679119195616
Hyperreflexia	ADRA2C	0.18931866860165
Hypersomnia	ADRA2C	0.0353200535269893
Hyperthyroidism	ADRA2C	0.114359211838847
Hypertriglyceridaemia	ADRA2C	0.0373881762178344
Hypochromic anaemia	ADRA2C	0.0670036614019026
Hypoglycaemia	ADRA2C	0.109902166950303
Hypokinesia	ADRA2C	0.0186445591729259
Hypothermia	ADRA2C	0.00246632408586754
Increased appetite	ADRA2C	0.137874175262379
Injection site induration	ADRA2C	0.128324707804536
Injection site necrosis	ADRA2C	0.128324707804536
Intestinal obstruction	ADRA2C	0.114499770984026
Jaundice	ADRA2C	0.10967184795248
Joint stiffness	ADRA2C	0.160460900694446
Laryngospasm	ADRA2C	0.103969024392199
Lethargy	ADRA2C	0.12307918246174
Leukocytosis	ADRA2C	0.0352708110210088
Localised infection	ADRA2C	0.128324707804536
Lower respiratory tract infection	ADRA2C	0.102011059133019
Mania	ADRA2C	0.17270055166094
Masked facies	ADRA2C	0.000229534193638711
Menorrhagia	ADRA2C	0.0905080058410683
Menstruation delayed	ADRA2C	0.128324707804536
Menstruation irregular	ADRA2C	0.088136646876937
Middle insomnia	ADRA2C	0.198182200439982
Movement disorder	ADRA2C	0.0163788464201455
Muscle contractions involuntary	ADRA2C	0.0342079272415014
Muscle contracture	ADRA2C	0.198182200439982
Muscle rigidity	ADRA2C	6.21049844528528e-05
Muscle tightness	ADRA2C	0.0912218277198248
Muscle twitching	ADRA2C	0.0337544514018445
Musculoskeletal stiffness	ADRA2C	0.14230016527093
Myocarditis	ADRA2C	0.102011059133019
Myoclonus	ADRA2C	0.0341952762793338
Myoglobin urine present	ADRA2C	0.105047027740966
Myoglobinuria	ADRA2C	0.105047027740966
Nasal congestion	ADRA2C	0.0144780286986042
Neuroleptic malignant syndrome	ADRA2C	1.41092409258419e-05
Nightmare	ADRA2C	0.08439744560932
Nuchal rigidity	ADRA2C	0.154772054074417
Obesity	ADRA2C	0.0814082847942934
Ocular hyperaemia	ADRA2C	0.0553593039738363
Oculogyric crisis	ADRA2C	0.000370056123968638
Oligomenorrhoea	ADRA2C	0.175242373059483
Onychomycosis	ADRA2C	0.0613675027484147
Opisthotonus	ADRA2C	0.0196566009680223
Orthostatic hypotension	ADRA2C	0.00130011748142477
Parkinson's disease	ADRA2C	0.198182200439982
Parkinsonian rest tremor	ADRA2C	0.0107153528543563
Parkinsonism	ADRA2C	0.00017619327743013
Pneumonia aspiration	ADRA2C	0.00310215585068514
Polydipsia	ADRA2C	2.72833894946554e-05
Pregnancy	ADRA2C	0.00106495122332121
Priapism	ADRA2C	0.000709888801845883
Productive cough	ADRA2C	0.198182200439982
Psychotic disorder	ADRA2C	0.0116736345624962
Pulmonary congestion	ADRA2C	0.135657578324558
Pulmonary embolism	ADRA2C	0.130467198604812
Rash papular	ADRA2C	0.0498750843070258
Respiratory tract infection	ADRA2C	0.180924908778521
Restless legs syndrome	ADRA2C	9.2716274982658e-05
Retrograde ejaculation	ADRA2C	0.0824247154484813
Rhabdomyolysis	ADRA2C	0.0312841241764339
Salivary hypersecretion	ADRA2C	0.016218655406077
Schizophrenia	ADRA2C	0.0824247154484813
Seborrhoeic dermatitis	ADRA2C	0.120586148212423
Sexual dysfunction	ADRA2C	0.0137054148018411
Sinus tachycardia	ADRA2C	0.0342079272415014
Sleep apnoea syndrome	ADRA2C	0.0356558191102455
Sluggishness	ADRA2C	0.00369016832103577
Somnambulism	ADRA2C	0.0814082847942934
Somnolence	ADRA2C	0.141330947412041
Stillbirth	ADRA2C	0.151721523898434
Sudden death	ADRA2C	0.00489825294946618
Suicidal ideation	ADRA2C	0.0448460778228375
Swollen tongue	ADRA2C	0.00310215585068514
Tachycardia	ADRA2C	0.0285103787053995
Tardive dyskinesia	ADRA2C	6.70886766647594e-06
Throat tightness	ADRA2C	1.08377121642982e-05
Tongue paralysis	ADRA2C	0.0107153528543563
Toothache	ADRA2C	0.0518722776805102
Torsade de pointes	ADRA2C	0.00255451742219933
Torticollis	ADRA2C	0.0185678415474762
Tremor	ADRA2C	0.136232810730807
Trismus	ADRA2C	0.0185678415474762
Unresponsive to stimuli	ADRA2C	0.0107153528543563
Urinary retention	ADRA2C	0.092215294737842
Ventricular arrhythmia	ADRA2C	0.151721523898434
Water intoxication	ADRA2C	0.0217579165660466
Weight increased	ADRA2C	0.0136801845950839
Wheezing	ADRA2C	0.0790439997184527
White blood cell count decreased	ADRA2C	0.107410309948727
Accommodation disorder	ADRB1	0.0156753937599111
Agitation	ADRB1	0.177615783911061
Agranulocytosis	ADRB1	0.109339808228379
Akathisia	ADRB1	0.059259939809476
Akinesia	ADRB1	0.0136148704096893
Alcohol abuse	ADRB1	0.187035496390467
Alopecia	ADRB1	0.155783721605372
Amenorrhoea	ADRB1	0.189259669247499
Anorgasmia	ADRB1	0.125134962940402
Antisocial behaviour	ADRB1	0.0887633709182451
Antisocial personality disorder	ADRB1	0.0887633709182451
Anxiety	ADRB1	0.082201066461676
Apnoea	ADRB1	0.184027426727856
Arrhythmia	ADRB1	0.134690881573942
Asocial behaviour	ADRB1	0.0887633709182451
Ataxia	ADRB1	0.0193626978371538
Atelectasis	ADRB1	0.163744905742397
Atrioventricular block	ADRB1	0.00012815096182099
Bipolar disorder	ADRB1	0.163071448836136
Bipolar I disorder	ADRB1	0.187035496390467
Blepharitis	ADRB1	0.175242373059483
Blister	ADRB1	0.103980023058244
Blood pressure systolic increased	ADRB1	0.187035496390467
Blood prolactin increased	ADRB1	0.0194653519842102
Blood triglycerides increased	ADRB1	0.194079458609977
Bradycardia	ADRB1	0.138842776720733
Bradykinesia	ADRB1	0.0797266122494217
Breast enlargement	ADRB1	0.134331956980325
Buccoglossal syndrome	ADRB1	0.0887633709182451
Bundle branch block	ADRB1	0.0980412100672595
Bundle branch block left	ADRB1	0.163071448836136
Bursitis	ADRB1	0.0530683965961278
Cerebrovascular accident	ADRB1	0.00786075649514434
Choreoathetosis	ADRB1	0.0028802229226671
Cogwheel rigidity	ADRB1	0.0898775123265409
Confusional state	ADRB1	0.0351446110942756
Coordination abnormal	ADRB1	0.021204105889676
Corneal lesion	ADRB1	0.187035496390467
Costochondritis	ADRB1	0.163071448836136
Delirium	ADRB1	0.0482213198057175
Delusion	ADRB1	0.0387064026714607
Depression	ADRB1	0.195879629010825
Depressive symptom	ADRB1	0.0898775123265409
Diabetes mellitus	ADRB1	0.0979910635807855
Diabetic ketoacidosis	ADRB1	0.163071448836136
Disorientation	ADRB1	0.0901735103298459
Disturbance in sexual arousal	ADRB1	0.0291886460667972
Drug dependence	ADRB1	0.163744905742397
Drug tolerance	ADRB1	0.187035496390467
Drug withdrawal syndrome	ADRB1	0.0129036278561249
Drug withdrawal syndrome neonatal	ADRB1	0.0400452431774308
Dry mouth	ADRB1	0.0782903842326773
Dysarthria	ADRB1	0.189259669247499
Dysgeusia	ADRB1	0.0355022220282993
Dyskinesia	ADRB1	0.0525639629563291
Dysphemia	ADRB1	0.0887633709182451
Dyspnoea	ADRB1	0.156310215204654
Ecchymosis	ADRB1	0.131845311700532
Ejaculation disorder	ADRB1	0.106365150124136
Electrocardiogram QT prolonged	ADRB1	0.000927480794165372
Eosinophil count increased	ADRB1	0.163071448836136
Eosinophilia	ADRB1	0.0534451177627725
Epididymitis	ADRB1	0.046329930772905
Erectile dysfunction	ADRB1	0.0104009558233866
Extrapyramidal disorder	ADRB1	0.000750603351998491
Eyelid ptosis	ADRB1	0.0180464516837392
Facial pain	ADRB1	0.187035496390467
Faecalith	ADRB1	0.0683973676481429
Faecaloma	ADRB1	0.0683973676481429
Fatigue	ADRB1	0.143343536431738
Gait disturbance	ADRB1	0.054912770806544
Galactorrhoea	ADRB1	0.000657742852543851
Glossodynia	ADRB1	0.163744905742397
Goitre	ADRB1	0.0311567196605302
Grand mal convulsion	ADRB1	0.194079458609977
Gynaecomastia	ADRB1	0.146749024549948
Hallucination	ADRB1	0.0632633508675532
Heart rate irregular	ADRB1	0.112948813431362
Hirsutism	ADRB1	0.13016166612607
Homicidal ideation	ADRB1	0.163071448836136
Hyperpathia	ADRB1	0.0887633709182451
Hypersomnia	ADRB1	0.163744905742397
Hyperthyroidism	ADRB1	0.13016166612607
Hypoaesthesia	ADRB1	0.186923919147666
Hypoaesthesia oral	ADRB1	0.112948813431362
Hypokinesia	ADRB1	0.198668684530033
Hypomania	ADRB1	0.0028802229226671
Hypotension	ADRB1	0.0337544514018445
Idiopathic thrombocytopenic purpura	ADRB1	0.187035496390467
Ileus paralytic	ADRB1	0.122374209217129
Inappropriate antidiuretic hormone secretion	ADRB1	0.0372641916500796
Induration	ADRB1	0.113957037660576
Injection site induration	ADRB1	0.136930847054281
Iron deficiency anaemia	ADRB1	0.0584380343217638
Keratitis	ADRB1	0.194079458609977
Ketosis	ADRB1	0.187035496390467
Libido decreased	ADRB1	0.0184237389659443
Lymphadenitis	ADRB1	0.0584380343217638
Mania	ADRB1	0.0790155208868868
Masked facies	ADRB1	0.0400452431774308
Mydriasis	ADRB1	0.100534524574071
Neuroleptic malignant syndrome	ADRB1	0.00836434981036156
Neuropathy peripheral	ADRB1	0.131776706740885
Neurosis	ADRB1	0.13016166612607
Nightmare	ADRB1	0.0395003623159454
Nocturia	ADRB1	0.189259669247499
Nodal arrhythmia	ADRB1	0.0400452431774308
Normochromic normocytic anaemia	ADRB1	0.0887633709182451
Obesity	ADRB1	0.0898775123265409
Oculogyric crisis	ADRB1	0.091307247334474
Orthostatic hypotension	ADRB1	0.0876790968236346
Pallor	ADRB1	0.0458897097569637
Palpitations	ADRB1	0.0864843656162172
Panic attack	ADRB1	0.052106179524984
Panic reaction	ADRB1	0.125134962940402
Paraesthesia	ADRB1	0.171188093201479
Paraesthesia oral	ADRB1	0.147806506984613
Paranoia	ADRB1	0.170266176805594
Parkinson's disease	ADRB1	0.00436800637228335
Parkinsonism	ADRB1	0.0489996915255623
Parotid gland enlargement	ADRB1	0.0194653519842102
Petechiae	ADRB1	0.109714540557226
Psychotic disorder	ADRB1	0.0048540273220572
Pyuria	ADRB1	0.125134962940402
Red blood cell count decreased	ADRB1	0.163071448836136
Restless legs syndrome	ADRB1	0.189602006866131
Rhabdomyolysis	ADRB1	0.114499770984026
Rheumatoid arthritis	ADRB1	0.176510774532613
Rhonchi	ADRB1	0.187035496390467
Salivary hypersecretion	ADRB1	0.162748243369631
Schizophrenia	ADRB1	0.0887633709182451
Schizophreniform disorder	ADRB1	0.112948813431362
Seborrhoeic dermatitis	ADRB1	0.141080335924803
Sensory loss	ADRB1	0.162919147353485
Sinus arrest	ADRB1	0.0488227316298252
Sleep disorder	ADRB1	0.14173249154852
Speech disorder	ADRB1	0.177087199626263
Suicidal ideation	ADRB1	0.155382155262307
Swollen tongue	ADRB1	0.125134962940402
Syncope	ADRB1	0.184553681742576
Tachycardia	ADRB1	0.150226097152272
Tardive dyskinesia	ADRB1	0.122374209217129
Testicular swelling	ADRB1	0.0584380343217638
Throat tightness	ADRB1	0.00149780749000394
Tongue discolouration	ADRB1	0.01151700362139
Tongue oedema	ADRB1	0.103980023058244
Toothache	ADRB1	0.184489753094701
Torsade de pointes	ADRB1	0.059259939809476
Tremor	ADRB1	0.0369419294458633
